,137,232,school_pri
220,5.0,0.0,60.0
221,1.0,0.0,48.0
222,5.0,1.0,184.0
223,23.0,0.0,398.0
224,19.0,0.0,482.0
225,19.0,1.0,914.0
226,28.0,0.0,1146.0
227,25.0,2.0,1520.0
228,31.0,6.0,1760.0
229,43.0,1.0,1794.0
230,37.0,2.0,1950.0
231,33.0,5.0,1970.0
232,37.0,9.0,2032.0
233,30.0,1.0,1660.0
234,27.0,4.0,1296.0
235,30.0,0.0,942.0
236,17.0,1.0,770.0
237,17.0,1.0,502.0
238,11.0,1.0,416.0
239,16.0,0.0,274.0
240,13.0,0.0,142.0
241,4.0,0.0,78.0
242,1.0,0.0,38.0
243,7.0,0.0,46.0
244,4.0,1.0,66.0
245,4.0,0.0,194.0
246,11.0,0.0,698.0
247,43.0,1.0,1426.0
248,66.0,8.0,2370.0
249,52.0,4.0,2210.0
250,68.0,1.0,2288.0
251,82.0,6.0,2332.0
252,70.0,6.0,2490.0
253,72.0,6.0,2496.0
254,81.0,6.0,2746.0
255,86.0,7.0,2866.0
256,96.0,7.0,2530.0
257,109.0,3.0,2530.0
258,70.0,6.0,2092.0
259,55.0,2.0,1602.0
260,45.0,1.0,1022.0
261,26.0,0.0,658.0
262,13.0,1.0,420.0
263,11.0,0.0,298.0
264,8.0,0.0,170.0
265,8.0,1.0,92.0
266,3.0,0.0,64.0
267,0.0,0.0,30.0
268,3.0,0.0,62.0
269,4.0,0.0,210.0
270,7.0,1.0,854.0
271,46.0,2.0,1570.0
272,51.0,4.0,2456.0
273,62.0,1.0,2376.0
274,58.0,4.0,2242.0
275,59.0,4.0,2454.0
276,99.0,3.0,2582.0
277,51.0,5.0,2662.0
278,85.0,4.0,2902.0
279,81.0,6.0,3008.0
280,84.0,6.0,2868.0
281,113.0,2.0,2776.0
282,89.0,1.0,2586.0
283,61.0,3.0,1818.0
284,50.0,1.0,1190.0
285,37.0,0.0,740.0
286,13.0,1.0,608.0
287,12.0,0.0,288.0
288,16.0,0.0,202.0
289,3.0,0.0,98.0
290,2.0,0.0,48.0
291,2.0,0.0,40.0
292,2.0,0.0,40.0
293,6.0,1.0,210.0
294,13.0,1.0,746.0
295,53.0,0.0,1536.0
296,56.0,1.0,2420.0
297,56.0,4.0,2336.0
298,70.0,7.0,2486.0
299,80.0,4.0,2572.0
300,74.0,3.0,2714.0
301,69.0,4.0,2758.0
302,69.0,8.0,2812.0
303,110.0,10.0,3324.0
304,104.0,10.0,2848.0
